tweet,date,likes,retweets
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:36,0,592
"RT @TIMENOUT: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' WHAT IS ⁦@JoeBiden⁩ HIDING?

https://t.co/…",2020-04-28 19:14:31,0,10
"RT @DailyCaller: According to Tara Reade, she filed a written sexual harassment complaint against Joe Biden with a “Senate personnel office…",2020-04-28 19:14:28,0,780
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/AUHwplxgWh",2020-04-28 19:14:27,0,0
"RT @DavidWaddell5: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' — GREAT QUESTION 

https://t.co/hMl6y…",2020-04-28 19:14:27,0,45
"RT @FuctupMike: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/xT2M40Uhzy",2020-04-28 19:14:27,0,35
"RT @2runtherace: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' | Fox News
@patriot_126 https://t.co/0D…",2020-04-28 19:14:26,0,38
@KamalaHarris @allysonfelix Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'… https://t.co/oUWKbu3L9A,2020-04-28 19:14:23,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:22,0,593
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:21,0,593
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:20,0,593
"RT @DavidWaddell5: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' — GREAT QUESTION 

https://t.co/hMl6y…",2020-04-28 19:14:20,0,45
"RT @CHIZMAGA: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/51Aq29QnDT",2020-04-28 19:14:20,0,71
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:19,0,593
RT @ScottJW: Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?' https://t.co/sEBL8sO2aF,2020-04-28 19:14:18,0,2
"RT @DontDregMeBro: Tara Reade calls for release of Biden's Senate records:
'Why are they under seal?'
https://t.co/a0jLy62PS5

BOOM.",2020-04-28 19:14:18,0,13
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:16,0,593
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/3QuJGelZmw",2020-04-28 19:14:15,0,0
"RT @RyanAFournier: Biden’s Senate records from 1973 to 2009 are inaccessible to the public.

Tara Reade is now calling for the release of t…",2020-04-28 19:14:15,0,593
"Tara Reade calls for release of Biden's Senate records: 'Why are they under seal?'

https://t.co/IGbc0UyfiS
Isn’t t… https://t.co/dDxpFxMv5u",2020-04-28 19:14:15,0,0
"RT @pushforward40: GREAT QUESTION! YOU GOT SOMETHING TO HIDE @JoeBiden? 

Tara Reade calls for release of Biden's Senate records: 'Why are…",2020-04-28 19:14:14,0,8
RT @heretosaveday07: Tara Reade is asking for release of documents being held by the U of Delaware that contain Biden's staff personnel rec…,2020-04-28 19:14:14,0,10
Tara Reade  [ foxnews] Tara Reade calls for release of  #Biden's Senate records: 'Why are they under seal?' https://t.co/3d13y6FhAV,2020-04-28 19:14:13,0,0
