tweet,date,likes,retweets
RT @BuzzFeed: 17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For https://t.co/eIscqvHo6O,2020-04-28 19:12:00,0,4
RT @BuzzFeed: 17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For https://t.co/eIscqvHo6O,2020-04-28 19:03:57,0,4
17 #People Who #Learned Things About Their #Partners During #Quarantine That They Were NOT… https://t.co/2hOAcuWBDu,2020-04-28 19:00:27,0,0
RT @BuzzFeed: 17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For https://t.co/eIscqvHo6O,2020-04-28 18:59:36,0,4
RT @BuzzFeed: 17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For https://t.co/eIscqvHo6O,2020-04-28 18:59:11,0,4
17 People Who Learned Things About Their Partners During Quarantine That They Were NOT Ready For https://t.co/eIscqvHo6O,2020-04-28 18:51:29,21,4
