tweet,date,likes,retweets
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:13:54,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:51,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:37,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:12:27,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:11:29,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:10:54,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:10:27,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:10:10,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:09:42,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:08:55,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:07:38,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:07:26,0,59
"RT @KTLA: Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … what not to do…",2020-04-27 19:05:03,0,59
"Off the bat, Newsom addresses beach crowding in O.C. in Ventura ""Those images are an example of what not to see … w… https://t.co/bkzpenKZb0",2020-04-27 19:04:15,155,59
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-27 19:02:12,0,3
Watch live: Gov. @GavinNewsom set to provide update on state's coronavirus response https://t.co/6HwJgSbhtW,2020-04-27 19:01:32,2,1
"RT @LAist: California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow this post for up…",2020-04-27 19:00:38,0,3
"California Gov. Gavin Newsom is about to deliver his daily coronavirus briefing.

Watch the live video &amp; follow thi… https://t.co/B34sYRdFXn",2020-04-27 18:58:23,9,3
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:58:28,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:31:16,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:23:14,0,11
RT @thehill: WATCH LIVE: California Gov. Newsom gives coronavirus update https://t.co/ebpSgxGlVK https://t.co/VBlVq1VrOF,2020-04-24 19:15:01,0,11
